Joy	Carol	Tom	Joy		Julia1	Carol	Tom	Joy
1	6	3	31		8102	4	12	26
2	16	37	45		8103	7	11	27
3	10	2	2		8104	1	9	28
4	14	9	24		8105	2	4	29
5	18	38	8		8106	12	13	30
6	17	15	28		8107	3	24	13
7	46	43	46		8108	8	23	14
8	19	34	13		8109	11	5	45
9	12	22	15		8110	15	26	46
10	47	47	39		8111	16	43	19
11	5	11	20		8112	18	47	20
12	3	10	3		8113	10	16	11
13	49	48	37		8114	9	8	12
14	8	14	4		8115	13	6	5
15	13	35	50		8116	14	7	6
16	9	30	29		8117	28	30	7
17	11	44	30		8118	25	35	8
18	7	17	10		8119	27	41	47
19	4	1	1		8120	26	42	48
20	42	39	42		8121	17	3	21
21	20	26	27		8122	19	40	24
22	48	27	21		8123	31	36	25
23	15	33	7		8124	20	44	15
24	1	16	5		8125	21	39	16
25	21	20	34		8126	24	20	31
26	22	28	14		8127	36	50	32
27	23	21	16		8128	30	25	33
28	24	40	17		8129	29	18	44
29	50	41	43		8130	37	48	17
30	2	29	18		8131	38	49	18
31	37	36	47		8132	23	19	22
32	25	24	25		8133	22	14	23
33	26	25	9		8134	5	2	1
34	35	8	12		8135	6	1	2
35	28	6	26		8136	39	38	9
36	45	42	38		8137	40	31	10
37	32	19	6		8138	48	10	41
38	39	50	48		8139	49	34	49
39	40	49	44		8140	41	33	42
40	30	23	19		8141	42	51	43
41	21	32	35		8142	47	15	34
42	36	4	11		8143	44	29	35
43	33	18	22		8144	33	37	3
44	27	5	49		8145	34	17	4
45	38	46	40		8146	43	32	36
46	44	45	41		8147	35	27	37
47	41	13	32		8148	45	21	38
48	29	7	33		8149	46	22	39
49	34	31	36		8150	32	28	40
50	43	12	23		8151	50	52	50
					8152	51	46	51
					8153	52	45	52