1.JPG	233.3855	19
2.JPG	36.9554	30
3.JPG	243.4642	2
4.JPG	242.9823	3
5.JPG	27.6739	43
6.JPG	239.0807	10
7.JPG	38.0225	28
8.JPG	35.0004	37
9.JPG	242.4734	4
10.JPG	39.5817	25
11.JPG	42.0722	23
12.JPG	245.3773	1
13.JPG	45.7658	21
14.JPG	240.6851	5
15.JPG	238.3889	11
16.JPG	37.6924	29
17.JPG	-157.6238	47
18.JPG	235.718	17
19.JPG	-156.4467	45
20.JPG	-169.4492	50
21.JPG	-165.9314	48
22.JPG	32.9327	40
23.JPG	39.9134	24
24.JPG	-157.4754	46
25.JPG	35.6992	34
26.JPG	38.9251	26
27.JPG	237.9447	13
28.JPG	35.9691	33
29.JPG	238.2539	12
30.JPG	36.6815	31
31.JPG	34.0079	38
32.JPG	35.6886	35
33.JPG	33.3623	39
34.JPG	239.8038	6
35.JPG	235.6157	18
36.JPG	239.5811	8
37.JPG	-156.3786	44
38.JPG	239.6456	7
39.JPG	-166.3795	49
40.JPG	239.1292	9
41.JPG	35.0933	36
42.JPG	44.0982	22
43.JPG	36.1031	32
44.JPG	232.7544	20
45.JPG	32.7075	41
46.JPG	236.7859	14
47.JPG	236.213	15
48.JPG	32.3048	42
49.JPG	38.8711	27
50.JPG	235.9309	16