Joy-Dataset	Carol	Tom	Joy	Julia	Algorithm		Julia1-Dataset	Carol	Tom	Joy	Julia	Algorithm
1	6	3	31	11	19		8102	4	12	26	6	24
2	16	37	45	15	30		8103	7	11	27	4	34
3	10	2	2	5	2		8104	1	9	28	11	2
4	14	9	24	9	3		8105	2	4	29	9	23
5	18	38	8	19	43		8106	12	13	30	2	36
6	17	15	28	18	10		8107	3	24	13	15	48
7	46	43	46	47	28		8108	8	23	14	12	32
8	19	34	13	17	37		8109	11	5	45	17	41
9	12	22	15	21	4		8110	15	26	46	18	46
10	47	47	39	49	25		8111	16	43	19	26	12
11	5	11	20	37	23		8112	18	47	20	25	30
12	3	10	3	3	1		8113	10	16	11	28	9
13	49	48	37	44	21		8114	9	8	12	22	14
14	8	14	4	36	5		8115	13	6	5	27	4
15	13	35	50	42	11		8116	14	7	6	21	21
16	9	30	29	12	29		8117	28	30	7	30	1
17	11	44	30	13	47		8118	25	35	8	29	22
18	7	17	10	10	17		8119	27	41	47	33	47
19	4	1	1	1	45		8120	26	42	48	34	38
20	42	39	42	20	50		8121	17	3	21	8	40
21	20	26	27	22	48		8122	19	40	24	46	5
22	48	27	21	23	40		8123	31	36	25	45	11
23	15	33	7	24	24		8124	20	44	15	32	7
24	1	16	5	4	46		8125	21	39	16	31	16
25	21	20	34	35	34		8126	24	20	31	44	26
26	22	28	14	28	26		8127	36	50	32	51	39
27	23	21	16	34	13		8128	30	25	33	20	10
28	24	40	17	25	33		8129	29	18	44	16	28
29	50	41	43	14	12		8130	37	48	17	42	6
30	2	29	18	30	31		8131	38	49	18	43	13
31	37	36	47	16	38		8132	23	19	22	10	15
32	25	24	25	29	35		8133	22	14	23	7	29
33	26	25	9	27	39		8134	5	2	1	3	27
34	35	8	12	8	6		8135	6	1	2	1	33
35	28	6	26	7	18		8136	39	38	9	24	3
36	45	42	38	46	8		8137	40	31	10	23	20
37	32	19	6	2	44		8138	48	10	41	5	45
38	39	50	48	45	7		8139	49	34	49	47	43
39	40	49	44	48	49		8140	41	33	42	36	42
40	30	23	19	39	9		8141	42	51	43	37	52
41	21	32	35	26	36		8142	47	15	34	41	37
42	36	4	11	6	22		8143	44	29	35	40	44
43	33	18	22	32	32		8144	33	37	3	14	8
44	27	5	49	33	20		8145	34	17	4	13	19
45	38	46	40	43	41		8146	43	32	36	38	50
46	44	45	41	50	14		8147	35	27	37	35	51
47	41	13	32	38	15		8148	45	21	38	48	17
48	29	7	33	40	42		8149	46	22	39	39	31
49	34	31	36	41	27		8150	32	28	40	19	18
50	43	12	23	31	16		8151	50	52	50	49	49
							8152	51	46	51	52	35
							8153	52	45	52	50	25
												